City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
335,talcahuano,-36.7167,-73.1167,293.97,49,0,7.2,CL,1702146216
336,wagar,16.1525,36.2032,302.51,21,96,3.41,SD,1702146216
337,ta`u,-14.2336,-169.5144,300.32,81,77,6.04,AS,1702146216
338,harper,4.375,-7.7169,301.01,78,20,3.53,LR,1702146217
339,tanjung pandan,-2.75,107.65,299.48,86,100,2.61,ID,1702146217
340,andradina,-20.8961,-51.3794,308.74,34,32,2.3,BR,1702146217
341,beihai,21.4833,109.1,295.65,85,7,2.21,CN,1702146218
342,rethymno,35.3647,24.4714,285.94,70,91,3.94,GR,1702145804
343,selfoss,63.9331,-20.9971,269.29,64,1,3.8,IS,1702146218
344,milagros,12.2181,123.5095,298.36,88,8,2.81,PH,1702146218
345,kamina,-8.7386,24.9906,292.3,94,84,0.83,CD,1702146218
346,sigayevo,56.4216,53.7757,240.64,100,20,1.01,RU,1702146018
347,richards bay,-28.783,32.0377,295.53,97,100,2.49,ZA,1702146218
348,vadso,70.0744,29.7487,261.24,79,40,9.77,NO,1702146219
349,sydney mines,46.2367,-60.2177,277.73,76,20,5.66,CA,1702146219
350,nar'yan-mar,67.6713,53.087,245.99,92,9,2.68,RU,1702146219
351,palm coast,29.585,-81.2078,301.0,68,40,3.6,US,1702146162
352,es castell,39.8795,4.2854,286.53,71,20,3.09,ES,1702146220
353,mbinga,-10.9333,35.0167,291.32,96,39,0.97,TZ,1702146220
354,zaragoza,41.6561,-0.8773,291.2,68,0,2.68,ES,1702146015
355,salalah,17.0151,54.0924,298.2,61,0,2.06,OM,1702146220
356,ginir,7.1333,40.7,287.74,56,27,1.71,ET,1702146221
357,vangviang,18.9333,102.45,297.33,78,53,0.77,LA,1702146221
358,st. john's,47.5649,-52.7093,276.36,91,100,12.35,CA,1702146178
359,okha,53.5739,142.9478,268.28,94,100,11.92,RU,1702146221
